repository_name,site,views,unique_visitors/cloners
global-payments,Google,1,1
global-payments,confluence.walmart.com,1,1
global-payments,developer.payments.jpmorgan.com,1,1
global-payments,embedded-banking-dev.com,6,1
global-payments,gateway.zscalertwo.net,8,1
global-payments,github.com,10,3
global-payments,global-payments-dev.com,1,1
global-payments,jiradc-cto.prod.aws.jpmchase.net,1,1
global-payments,jpmorgan.com,15,1
global-payments,mage2.pro,24,1
global-payments,online-payments-dev.com,13,3
global-payments,teams.microsoft.com,2,1
global-payments,theforage.com,12,1
global-payments,yandex.ru,1,1
